Book Title,Author,Highlight,Location
2666 (Spanish Edition),Roberto Bolaño,De la boca de la mina salen ruidos ininteligibles.,
2666 (Spanish Edition),Roberto Bolaño,fonemas furibundos o seductores o seductoramente furibundos,
2666 (Spanish Edition),Roberto Bolaño,hurta,
2666 (Spanish Edition),Roberto Bolaño,tupida,
2666 (Spanish Edition),Roberto Bolaño,"cae por su peso decirlo, es",
2666 (Spanish Edition),Roberto Bolaño,ceñirse,
2666 (Spanish Edition),Roberto Bolaño,achicamiento,
2666 (Spanish Edition),Roberto Bolaño,desvirtúa,
2666 (Spanish Edition),Roberto Bolaño,aforo,
2666 (Spanish Edition),Roberto Bolaño,apesta.,
2666 (Spanish Edition),Roberto Bolaño,"se presta a muchas interpretaciones,",
2666 (Spanish Edition),Roberto Bolaño,alimenticio.,
2666 (Spanish Edition),Roberto Bolaño,parranda.,
2666 (Spanish Edition),Roberto Bolaño,"El sol chisporrotea, pero no quema.",
2666 (Spanish Edition),Roberto Bolaño,"calenturienta,",
2666 (Spanish Edition),Roberto Bolaño,raquíticos,
2666 (Spanish Edition),Roberto Bolaño,diríase una broma pesada del,
2666 (Spanish Edition),Roberto Bolaño,más que vidrio era puro cristal.,
2666 (Spanish Edition),Roberto Bolaño,colmara,
